match_id,cmp_id,homeTeamId,awayTeamId,startDate,courtId,referee_id,round,isDraw,last_match,is_bye,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,total_goals,goal_difference,home_win,match_year,match_month,match_day,match_weekday,home_team_goals,away_team_goals,home_team_points,away_team_points,home_result,away_result,home_win_ratio,away_win_ratio,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_recent_form,away_recent_form,home_elo,away_elo,h2h_home_wins,h2h_away_wins,h2h_matches,home_last5_avg_goals,away_last5_avg_goals
97928,430,331,19,4/14/2023,11,1,12,0,0,0,0,0,0,0,Hume FC,Altona Knights FC,4,2,1,2023,4,14,4,3,1,3,0,W,L,0.636363636,0.272727273,2.818181818,3.363636364,2.727272727,5.272727273,0.8,0.2,1542.050605,1429.986107,0,1,1,3.4,3.4
97931,430,17,19,4/21/2023,11,1,13,0,0,0,0,0,0,0,Fitzroy FC,Altona Knights FC,18,14,1,2023,4,21,4,16,2,3,0,W,L,0.916666667,0.25,5.583333333,3.166666667,1.416666667,5.083333333,0.8,0.2,1619.379576,1418.975044,1,0,1,6.4,2.6
97932,430,21,331,4/21/2023,11,1,13,0,0,0,0,0,0,0,Campbellfield FC,Hume FC,7,3,1,2023,4,21,4,5,2,3,0,W,L,0.583333333,0.666666667,4.5,2.833333333,3.333333333,2.583333333,0.4,0.8,1520.298351,1553.061667,1,0,1,3.6,3
97929,430,20,325,4/21/2023,11,1,13,0,0,0,0,0,0,0,Western United FC,Roxburgh Park Gorillas,5,3,0,2023,4,21,4,1,4,0,3,L,W,0.166666667,0.333333333,2.5,2.5,4.666666667,4.916666667,0.2,0.4,1408.33211,1454.763043,0,1,1,1.8,3.4
97930,430,22,18,4/21/2023,11,1,13,0,0,0,0,0,0,0,FC Carlton Heart,Moreland Blues FC,9,3,0,2023,4,21,4,3,6,0,3,L,W,0.25,0.833333333,3.25,4.75,4.75,2.333333333,0.2,1,1421.474423,1603.715785,0,1,1,2.6,6.2
97936,430,331,325,5/5/2023,11,1,14,0,0,0,0,0,0,0,Hume FC,Roxburgh Park Gorillas,9,3,1,2023,5,5,4,6,3,3,0,W,L,0.615384615,0.384615385,2.769230769,2.615384615,2.769230769,4.615384615,0.6,0.6,1535.557317,1468.637459,1,0,1,3,3.4
97933,430,19,20,5/5/2023,11,1,14,0,0,0,0,0,0,0,Altona Knights FC,Western United FC,7,1,1,2023,5,5,4,4,3,3,0,W,L,0.230769231,0.153846154,3.076923077,2.384615385,5.923076923,4.615384615,0,0,1411.30054,1394.457694,0,1,1,2,1.2
97934,430,22,21,5/5/2023,11,1,14,1,0,0,0,0,0,0,FC Carlton Heart,Campbellfield FC,5,1,1,2023,5,5,4,3,2,3,0,W,L,0.230769231,0.615384615,3.230769231,4.538461538,4.846153846,3.230769231,0.2,0.6,1413.173476,1537.802701,0,1,1,2.6,3.8
97937,430,20,22,5/12/2023,11,1,15,0,0,0,0,0,0,0,Western United FC,FC Carlton Heart,8,2,0,2023,5,12,4,3,5,0,3,L,W,0.142857143,0.285714286,2.428571429,3.214285714,4.571428571,4.642857143,0,0.4,1379.232729,1434.678737,1,1,2,1.4,2.6
97938,430,17,331,5/12/2023,11,1,15,0,0,0,0,0,0,0,Fitzroy FC,Hume FC,16,14,1,2023,5,12,4,15,1,3,0,W,L,0.923076923,0.642857143,6.384615385,3,1.461538462,2.785714286,1,0.6,1627.054081,1548.513097,1,1,2,9.4,3
97939,430,18,325,5/12/2023,11,1,15,0,0,0,0,0,0,0,Moreland Blues FC,Roxburgh Park Gorillas,6,6,1,2023,5,12,4,6,0,3,0,W,L,0.846153846,0.357142857,4.846153846,2.642857143,2.384615385,4.714285714,1,0.6,1612.016732,1455.681679,2,0,2,6.2,3.6
97940,430,19,21,5/12/2023,11,1,15,0,0,0,0,0,0,0,Altona Knights FC,Campbellfield FC,7,3,0,2023,5,12,4,2,5,0,3,L,W,0.285714286,0.571428571,3.142857143,4.357142857,5.714285714,3.214285714,0.2,0.4,1426.525505,1516.29744,1,1,2,2.2,3.2
97946,430,20,331,5/19/2023,11,1,17,0,0,0,0,0,0,0,Western United FC,Hume FC,7,1,1,2023,5,19,4,4,3,0,0,W,L,0.133333333,0.6,2.466666667,2.866666667,4.6,3.6,0,0.4,1365.764654,1536.069665,0,2,2,1.8,2.6
97948,430,21,18,5/19/2023,11,1,17,0,0,0,0,0,0,0,Campbellfield FC,Moreland Blues FC,8,6,1,2023,5,19,4,7,1,3,0,W,L,0.6,0.857142857,4.4,4.928571429,3.133333333,2.214285714,0.6,1,1528.2529,1621.266763,0,2,2,3.8,5.6
97947,430,19,325,5/19/2023,11,1,17,0,0,0,0,0,0,0,Altona Knights FC,Roxburgh Park Gorillas,7,3,1,2023,5,19,4,5,2,3,0,W,L,0.266666667,0.333333333,3.066666667,2.466666667,5.666666667,4.8,0.2,0.4,1414.570046,1446.431648,0,2,2,2.4,2.4
