match_id,cmp_id,homeTeamId,awayTeamId,startTime,endTime,startDate,startingTime,courtId,courtName,quaterFinal,semiFinals,final,referee_id,winningTeam,losingTeam,winningTeamGoals,losingTeamGoals,winningTeamPoints,losingTeamPoints,status,round,isDraw,last_match,is_bye,note,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,competitionName,seasonName
97922,430,19,22,3/31/2023 20:00,3/31/2023 21:15,3/31/2023,20:00:00,11,Series Futsal Arena,,,,1,22,19,4,3,0,0,Completed,11,no,no,FALSE,NULL,FALSE,no,0,0,Altona Knights FC,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
97923,430,18,331,3/31/2023 21:15,3/31/2023 22:30,3/31/2023,21:15:00,11,Series Futsal Arena,,,,1,18,331,5,1,3,0,Completed,11,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97924,430,20,21,3/31/2023 22:30,3/31/2023 23:45,3/31/2023,22:30:00,11,Series Futsal Arena,,,,1,21,20,4,1,3,0,Completed,11,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Campbellfield FC,2023/1 Series Futsal Victoria Men,2023/1
97925,430,22,325,4/14/2023 18:45,4/14/2023 20:00,4/14/2023,18:45:00,11,Series Futsal Arena,,,,1,325,22,5,2,3,0,Completed,12,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97926,430,20,18,4/14/2023 20:00,4/14/2023 21:15,4/14/2023,20:00:00,11,Series Futsal Arena,,,,1,18,20,6,1,3,0,Completed,12,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97927,430,17,21,4/14/2023 21:15,4/14/2023 22:30,4/14/2023,21:15:00,11,Series Futsal Arena,,,,1,17,21,4,3,3,0,Completed,12,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,Campbellfield FC,2023/1 Series Futsal Victoria Men,2023/1
97928,430,331,19,4/14/2023 22:30,4/14/2023 23:45,4/14/2023,22:30:00,11,Series Futsal Arena,,,,1,331,19,3,1,3,0,Completed,12,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97929,430,20,325,4/21/2023 18:45,4/21/2023 20:00,4/21/2023,18:45:00,11,Series Futsal Arena,,,,1,325,20,4,1,3,0,Completed,13,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97930,430,22,18,4/21/2023 20:00,4/21/2023 21:15,4/21/2023,20:00:00,11,Series Futsal Arena,,,,1,18,22,6,3,3,0,Completed,13,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97931,430,17,19,4/21/2023 22:30,4/21/2023 23:45,4/21/2023,22:30:00,11,Series Futsal Arena,,,,1,17,19,16,2,3,0,Completed,13,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97932,430,21,331,4/21/2023 21:15,4/21/2023 22:30,4/21/2023,21:15:00,11,Series Futsal Arena,,,,1,21,331,5,2,3,0,Completed,13,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97933,430,19,20,5/5/2023 19:00,5/5/2023 20:15,5/5/2023,19:00:00,11,Series Futsal Arena,,,,1,19,20,4,3,3,0,Completed,14,no,no,FALSE,NULL,FALSE,no,0,0,Altona Knights FC,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97934,430,22,21,5/5/2023 22:00,5/5/2023 23:15,5/5/2023,22:00:00,11,Series Futsal Arena,,,,1,22,21,3,2,3,0,Completed,14,yes,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Campbellfield FC,2023/1 Series Futsal Victoria Men,2023/1
97935,430,18,17,5/21/2023 19:00,5/21/2023 20:15,5/21/2023,19:00:00,11,Series Futsal Arena,,,,1,17,18,4,1,3,0,Completed,14,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97936,430,331,325,5/5/2023 20:30,5/5/2023 21:45,5/5/2023,20:30:00,11,Series Futsal Arena,,,,1,331,325,6,3,3,0,Completed,14,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97937,430,20,22,5/12/2023 21:15,5/12/2023 22:30,5/12/2023,21:15:00,11,Series Futsal Arena,,,,1,22,20,5,3,3,0,Completed,15,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
97938,430,17,331,5/12/2023 20:00,5/12/2023 21:15,5/12/2023,20:00:00,11,Series Futsal Arena,,,,1,17,331,15,1,3,0,Completed,15,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97939,430,18,325,5/12/2023 18:45,5/12/2023 20:00,5/12/2023,18:45:00,11,Series Futsal Arena,,,,1,18,325,6,0,3,0,Completed,15,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97940,430,19,21,5/12/2023 22:30,5/12/2023 23:45,5/12/2023,22:30:00,11,Series Futsal Arena,,,,1,21,19,5,2,3,0,Completed,15,no,no,FALSE,NULL,FALSE,no,0,0,Altona Knights FC,Campbellfield FC,2023/1 Series Futsal Victoria Men,2023/1
97941,430,19,18,5/23/2023 20:00,5/23/2023 21:15,5/23/2023,20:00:00,11,Series Futsal Arena,,,,1,19,18,7,4,3,0,Completed,16,no,no,FALSE,NULL,FALSE,no,0,0,Altona Knights FC,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97942,430,325,21,5/23/2023 22:30,5/23/2023 23:45,5/23/2023,22:30:00,11,Series Futsal Arena,,,,1,21,325,10,4,3,0,Completed,16,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Campbellfield FC,2023/1 Series Futsal Victoria Men,2023/1
97943,430,17,20,5/23/2023 18:45,5/23/2023 20:00,5/23/2023,18:45:00,11,Series Futsal Arena,,,,1,17,20,7,1,3,0,Completed,16,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97944,430,331,22,5/23/2023 21:15,5/23/2023 22:30,5/23/2023,21:15:00,11,Series Futsal Arena,,,,1,22,331,2,0,3,0,Completed,16,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
97945,430,22,17,5/19/2023 18:45,5/19/2023 20:00,5/19/2023,18:45:00,11,Series Futsal Arena,,,,1,17,22,5,2,3,0,Completed,17,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97946,430,20,331,5/19/2023 21:15,5/19/2023 22:30,5/19/2023,21:15:00,11,Series Futsal Arena,,,,1,20,331,4,3,0,0,Completed,17,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97947,430,19,325,5/19/2023 22:30,5/19/2023 23:45,5/19/2023,22:30:00,11,Series Futsal Arena,,,,1,19,325,5,2,3,0,Completed,17,no,no,FALSE,NULL,FALSE,no,0,0,Altona Knights FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97948,430,21,18,5/19/2023 20:00,5/19/2023 21:15,5/19/2023,20:00:00,11,Series Futsal Arena,,,,1,21,18,7,1,3,0,Completed,17,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
